











"ID","Unit Title","Unit Date","Start Year","End Year","Unit ID","Level","Originator","Container 1","Container 2","Container 3","Phys. Desc. 1","Phys. Desc. 2","Phys. Desc. 3","Phys. Loc","Access Restrict.","URN","Collection Title","Originator","Collection Date","Collection ID","Parent 1","Parent 2","Parent 3","Parent 4","Parent 5","Parent 6"
"div00407c00016","Copy of letter from James Moore, approved by the Convention, to answer an inquiry on the Convention's theory of future punishment made by Rev. Mr. Pollard of Maryland, May 28, 1791. Printed in Eddy, Universalism in America, Vol. 1, pp. 349-351","May 28, 1791.","1791","1791","bMS 407/1 (15)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326818","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00017","Report of committee to select and publish a collection of hymns, November 3, 1791. Includes list of hymns selected","November 3, 1791","1791","1791","bMS 407/1 (16)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326819","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00018","Copy of letter from the committee to select and publish a collection of hymns to the committee of the Universalist Society in Boston, January 3, 1792","January 3, 1792","1792","1792","bMS 407/1 (17)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326820","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00019","Letter from George Richards, probably to James Moore,February 25, 1792. Includes discussion of the selection of hymns from the collection to be published by the Philadelphia Universalist Convention","February 25, 1792","1792","1792","bMS 407/1 (18)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326821","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00020","Letter from Universalist Church in Upper Freehold, New Jersey, April 14, 1792","April 14, 1792","1792","1792","bMS 407/1 (19)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326822","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00021","Letter from Universalist Church in Pike Run, Washington County, Pennsylvania, May 2, 1792","May 2, 1792","1792","1792","bMS 407/1 (20)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326823","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00022","Letter from Universalist Church in Morgantown, Monogalia County, [West] Virginia, May 7, 1792","May 7, 1792","1792","1792","bMS 407/1 (21)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326824","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00023","Letter from Universalist Society in Boston, May 12, 1792. Printed in part in Eddy, Universalism in America, Vol. 1, pp. 349-351","May 12, 1792","1792","1792","bMS 407/1 (22)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326825","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00024","Letter from Universalist Church in Georges Hill, Allegania [sic] County, Maryland, May 14, 1792","May 14, 1792","1792","1792","bMS 407/1 (23)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326826","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00025","Letter from Universalist Church in Kingwood, New Jersey, May 14, 1792","May 14, 1792","1792","1792","bMS 407/1 (24)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326827","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00026","Letter from Universalist Society in Drummond Town, Accomack County, Virginia, May 15, 1792","May 15, 1792","1792","1792","bMS 407/1 (25)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326828","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00027","Letter from Universalist Church in Pittsgrove, New Jersey, May 19, 1792","May 19, 1792","1792","1792","bMS 407/1 (26)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326829","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00028","Letter from Universalist Church in Cape May, New Jersey, May 20, 1792","May 20, 1792","1792","1792","bMS 407/1 (27)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326830","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00029","Letter from Universalist Church in Newbritain, Pennsylvania, May 24, 1792","May 24, 1792","1792","1792","bMS 407/1 (28)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326831","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00030","Rules of government for Convention, May 25, 1792","May 25, 1792","1792","1792","bMS 407/1 (29)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326832","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00031","Report to committee to select and publish a collection of hymns, c. May 25, 1792. Similar to report given in minutes in Convention Record Book.","May 25, 1792","1792","1792","bMS 407/1 (30)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326833","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00032","Copy of letter sent by the Convention to the Universalist Church in Georges Hill, Maryland, May 27, 1792. Printed in part in Eddy, Universalism in America, Vol. 1, pp. 386-389","May 27, 1792","1792","1792","bMS 407/1 (31)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326834","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00033","Copy of letter by James Moore to the Universalist Church in Pike Run, Pennsylvania, May 27, 1792. Printed in Eddy, Universalism in America, Vol. 1, pp. 389- 192","May 27, 1792","1792","1792","bMS 407/1 (32)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326835","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00034","Copy of letter from Convention to Universalist Society in Boston, post- May 28, 1792","May 28, 1792","1792","1792","bMS 407/1 (33)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326836","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
"div00407c00035","Letter from Universalist Church in Pike Run, Pennsylvania, May 6, 1793","May 6, 1793","1793","1793","bMS 407/1 (34)","","","","","","","","","","","http://nrs.harvard.edu/urn-3:DIV.LIB:17326837","Philadelphia Universalist Convention. Records, 1789-1807.","Philadelphia Universalist Convention.","1789-1807.","bMS 407","","","","","","",
